Department,Department Description,Category,Fund,Expenditure
101,Office of the City Manager,Capital,980 - CAPITAL PROJECTS,"$7,000.00"
101,Office of the City Manager,Fixed Costs,050 - GENERAL FUND,"$25,893.55"
101,Office of the City Manager,Contractual Services,050 - GENERAL FUND,"$4,393.75"
101,Office of the City Manager,Payroll,050 - GENERAL FUND,"$13,962.68"
102,Budget & Evaluation,Fringe Benefits,050 - GENERAL FUND,"$4,965.27"
102,Budget & Evaluation,Contractual Services,050 - GENERAL FUND,"$2,204.17"
102,Budget & Evaluation,Payroll,302 - INCOME TAX - INFRASTRUCTURE,"$26,224.09"
102,Budget & Evaluation,Payroll,304 - Community Development BLOCK GRANT,"$8,511.17"
104,Office of Environmental Qualities,Fringe Benefits,212 - EMPLOYEE SAFETY AND RISK MANAGEMENT,"$18,081.12"
104,Office of Environmental Qualities,Materials and Supplies,436 - ENVIRONMENTAL STUDIES,"$2,626.00"
104,Office of Environmental Qualities,Contractual Services,436 - ENVIRONMENTAL STUDIES,"$42,150.00"
105,Economic Development,Capital,980 - CAPITAL PROJECTS,"$152,440.00"
105,Economic Development,Capital,980 - CAPITAL PROJECTS,"$201,228.71"
105,Economic Development,Capital,980 - CAPITAL PROJECTS,"$100,000.00"
105,Economic Development,Capital,980 - CAPITAL PROJECTS,"$3,600.00"
105,Economic Development,Contractual Services,050 - GENERAL FUND,"$37,500.00"
105,Economic Development,Contractual Services,050 - GENERAL FUND,"$49,558.16"
105,Economic Development,Contractual Services,050 - GENERAL FUND,"$8,370.38"
105,Economic Development,Payroll,304 - Community Development BLOCK GRANT,"$3,295.64"
105,Economic Development,Payroll,050 - GENERAL FUND,"$5,573.23"
111,Law Department,Fringe Benefits,302 - INCOME TAX - INFRASTRUCTURE,"-$15,904.65"
111,Law Department,Fringe Benefits,209 - PROPERTY MANAGEMENT,"$2,092.44"
111,Law Department,Fixed Costs,050 - GENERAL FUND,"$2,510.00"
111,Law Department,Fixed Costs,050 - GENERAL FUND,"$3,060.00"
111,Law Department,Contractual Services,050 - GENERAL FUND,"$3,213.25"
111,Law Department,Payroll,050 - GENERAL FUND,"-$137,909.65"
111,Law Department,Payroll,050 - GENERAL FUND,"$16,847.12"
111,Law Department,Payroll,050 - GENERAL FUND,"$120,607.08"
133,"Finance, Accounts & Audits",Debt Service,491 - MUNICIPAL PUBLIC IMPROVEMENT EQUIVALENT FUND,"$764,480.63"
133,"Finance, Accounts & Audits",Debt Service,498 - MAIDISONVILL EQUIVALENT FUND,"$122,065.63"
133,"Finance, Accounts & Audits",Fringe Benefits,302 - INCOME TAX - INFRASTRUCTURE,"$12,682.50"
133,"Finance, Accounts & Audits",Fixed Costs,488 - CORRYVILLE EQUIVALENT FUND,"$209,195.08"
133,"Finance, Accounts & Audits",Fixed Costs,495 - LOWER PRICE HILL EQUIVALENT FUND,"$5,376.38"
133,"Finance, Accounts & Audits",Fixed Costs,497 - WESTWOOD 2 EQUIVALENT FUND,"$3,523.65"
133,"Finance, Accounts & Audits",Fixed Costs,762 - URBAN REDEVELOPMENT TAX INCREMENT EQUIVALENT,"$2,281,242.25"
133,"Finance, Accounts & Audits",Contractual Services,487 - CUF/HEIGHTS EQUIVALENT FUND,"$19,288.21"
133,"Finance, Accounts & Audits",Contractual Services,491 - MUNICIPAL PUBLIC IMPROVEMENT EQUIVALENT FUND,"$17,422.03"
133,"Finance, Accounts & Audits",Contractual Services,791 - SIDEWALKS,"$2,893.15"
133,"Finance, Accounts & Audits",Payroll,050 - GENERAL FUND,"$3,168.23"
133,"Finance, Accounts & Audits",Payroll,304 - Community Development BLOCK GRANT,"$15,454.16"
133,"Finance, Accounts & Audits",Payroll,349 - URBAN RENEWAL DEBT RETIREMENT,"-$45,592.05"
134,"Finance, Treasury",Fringe Benefits,151 - BOND RETIREMENT - CITY,"$18,081.12"
134,"Finance, Treasury",Fixed Costs,151 - BOND RETIREMENT - CITY,"$10,162.50"
134,"Finance, Treasury",Contractual Services,050 - GENERAL FUND,"$20,692.98"
134,"Finance, Treasury",Contractual Services,050 - GENERAL FUND,"-$67,063.87"
135,"Finance, Risk Management",Fringe Benefits,711 - RISK MANAGEMENT,"$2,300.76"
135,"Finance, Risk Management",Fringe Benefits,212 - EMPLOYEE SAFETY AND RISK MANAGEMENT,"$58,297.72"
135,"Finance, Risk Management",Fringe Benefits,711 - RISK MANAGEMENT,"$24,742.50"
135,"Finance, Risk Management",Fixed Costs,711 - RISK MANAGEMENT,"$383,976.68"
135,"Finance, Risk Management",Fixed Costs,212 - EMPLOYEE SAFETY AND RISK MANAGEMENT,"$2,184.75"
136,"Finance, Income Tax",Materials and Supplies,050 - GENERAL FUND,"$3,156.15"
136,"Finance, Income Tax",Materials and Supplies,050 - GENERAL FUND,"$2,206.64"
136,"Finance, Income Tax",Contractual Services,050 - GENERAL FUND,"$10,634.00"
136,"Finance, Income Tax",Contractual Services,050 - GENERAL FUND,"$2,485.78"
136,"Finance, Income Tax",Payroll,050 - GENERAL FUND,"$12,321.49"
136,"Finance, Income Tax",Payroll,050 - GENERAL FUND,"$2,515.00"
136,"Finance, Income Tax",Payroll,050 - GENERAL FUND,"$792,859.44"
137,"Finance, Purchasing",Fixed Costs,050 - GENERAL FUND,"$37,987.01"
137,"Finance, Purchasing",Contractual Services,201 - PRINTING SERVICES/ STORES,"$5,434.15"
137,"Finance, Purchasing",Contractual Services,201 - PRINTING SERVICES/ STORES,"$3,157.94"
137,"Finance, Purchasing",Payroll,050 - GENERAL FUND,"$5,028.25"
137,"Finance, Purchasing",Payroll,050 - GENERAL FUND,"$176,253.22"
161,Community Development Administration,Capital,304 - Community Development BLOCK GRANT,"$9,372.76"
161,Community Development Administration,Fringe Benefits,304 - Community Development BLOCK GRANT,"$43,736.84"
161,Community Development Administration,Fixed Costs,304 - Community Development BLOCK GRANT,"$2,000.00"
161,Community Development Administration,Contractual Services,304 - Community Development BLOCK GRANT,"$4,473.78"
161,Community Development Administration,Contractual Services,050 - GENERAL FUND,"$7,750.00"
161,Community Development Administration,Contractual Services,050 - GENERAL FUND,"$39,250.00"
161,Community Development Administration,Contractual Services,050 - GENERAL FUND,"$9,218.00"
162,"Community Development, Housing",Capital,411 - HOME INVESTMENT TRUST,"$70,520.00"
162,"Community Development, Housing",Capital,465 - HOUSING OPPORTUNITIES FOR PERSONS WITH AIDS,"$100,933.17"
162,"Community Development, Housing",Capital,438 - NEIBORHOOD STABILIZATION PROGRAM,"$47,919.40"
162,"Community Development, Housing",Capital,410 - SHELTER PLUS CARE PROGRAM,"$35,961.00"
162,"Community Development, Housing",Capital,411 - HOME INVESTMENT TRUST,"$2,000.00"
162,"Community Development, Housing",Capital,438 - NEIBORHOOD STABILIZATION PROGRAM,"$20,199.86"
162,"Community Development, Housing",Capital,502 - ARRA FEDERAL GRANTS,"$2,938.00"
162,"Community Development, Housing",Capital,980 - CAPITAL PROJECTS,"$113,522.63"
162,"Community Development, Housing",Capital,980 - CAPITAL PROJECTS,"$52,482.22"
162,"Community Development, Housing",Capital,980 - CAPITAL PROJECTS,"$36,502.05"
162,"Community Development, Housing",Capital,980 - CAPITAL PROJECTS,"$11,782.32"
162,"Community Development, Housing",Fringe Benefits,304 - Community Development BLOCK GRANT,"$4,310.22"
162,"Community Development, Housing",Payroll,304 - Community Development BLOCK GRANT,"-$35,851.52"
162,"Community Development, Housing",Payroll,304 - Community Development BLOCK GRANT,"$6,207.19"
164,Community Development,Capital,304 - Community Development BLOCK GRANT,"$14,388.86"
164,Community Development,Capital,980 - CAPITAL PROJECTS,"$3,713.40"
164,Community Development,Capital,980 - CAPITAL PROJECTS,"$7,076.03"
167,New Construction & Building Standards,Capital,304 - Community Development BLOCK GRANT,"$2,344.00"
167,New Construction & Building Standards,Capital,304 - Community Development BLOCK GRANT,"$162,000.00"
167,New Construction & Building Standards,Capital,980 - CAPITAL PROJECTS,"$16,458.92"
167,New Construction & Building Standards,Capital,304 - Community Development BLOCK GRANT,"$29,647.94"
167,New Construction & Building Standards,Fringe Benefits,050 - GENERAL FUND,"$10,576.53"
167,New Construction & Building Standards,Contractual Services,347 - HAZARD ABATEMENT,"$2,295.00"
167,New Construction & Building Standards,Payroll,050 - GENERAL FUND,"-$280,553.74"
167,New Construction & Building Standards,Payroll,050 - GENERAL FUND,"$3,202.50"
171,Department Of Planning & Buildings,Capital,980 - CAPITAL PROJECTS,"$17,715.17"
171,Department Of Planning & Buildings,Capital,980 - CAPITAL PROJECTS,"$5,043.64"
171,Department Of Planning & Buildings,Capital,980 - CAPITAL PROJECTS,"$35,193.55"
171,Department Of Planning & Buildings,Capital,980 - CAPITAL PROJECTS,"$61,900.00"
171,Department Of Planning & Buildings,Fringe Benefits,050 - GENERAL FUND,"$2,929.92"
171,Department Of Planning & Buildings,Fringe Benefits,050 - GENERAL FUND,"$4,127.65"
171,Department Of Planning & Buildings,Contractual Services,050 - GENERAL FUND,"$2,007.29"
171,Department Of Planning & Buildings,Payroll,304 - Community Development BLOCK GRANT,"-$41,813.57"
171,Department Of Planning & Buildings,Payroll,050 - GENERAL FUND,"$5,853.12"
171,Department Of Planning & Buildings,Payroll,304 - Community Development BLOCK GRANT,"$3,427.94"
171,Department Of Planning & Buildings,Payroll,050 - GENERAL FUND,"$179,013.24"
172,"Planning, Licenses & Permits",Fringe Benefits,050 - GENERAL FUND,"$224,688.50"
172,"Planning, Licenses & Permits",Contractual Services,050 - GENERAL FUND,"$20,637.66"
172,"Planning, Licenses & Permits",Contractual Services,050 - GENERAL FUND,"$6,958.92"
191,"Recreation, West Region",Fringe Benefits,050 - GENERAL FUND,"$3,576.58"
191,"Recreation, West Region",Fringe Benefits,050 - GENERAL FUND,"$4,887.81"
191,"Recreation, West Region",Materials and Supplies,323 - RECREATION SPECIAL ACTIVITIES,"$6,085.64"
191,"Recreation, West Region",Materials and Supplies,050 - GENERAL FUND,"$5,639.95"
192,"Recreation, East Region",Fringe Benefits,050 - GENERAL FUND,"$6,893.04"
192,"Recreation, East Region",Materials and Supplies,050 - GENERAL FUND,"$4,760.24"
192,"Recreation, East Region",Contractual Services,050 - GENERAL FUND,"$5,892.50"
192,"Recreation, East Region",Contractual Services,050 - GENERAL FUND,"$2,808.86"
193,"Recreation, Central Region",Debt Service,050 - GENERAL FUND,"$22,928.42"
193,"Recreation, Central Region",Fringe Benefits,050 - GENERAL FUND,"$9,798.28"
193,"Recreation, Central Region",Fixed Costs,050 - GENERAL FUND,"$2,950.29"
193,"Recreation, Central Region",Contractual Services,050 - GENERAL FUND,"$5,286.00"
193,"Recreation, Central Region",Contractual Services,324 - RECREATION FEDERAL GRANT PROJECTS,"$2,200.00"
193,"Recreation, Central Region",Payroll,050 - GENERAL FUND,"$5,048.64"
193,"Recreation, Central Region",Payroll,050 - GENERAL FUND,"$6,385.10"
194,"Recreation, Maintenance",Fringe Benefits,050 - GENERAL FUND,"$11,463.99"
194,"Recreation, Maintenance",Fringe Benefits,050 - GENERAL FUND,"$2,552.15"
194,"Recreation, Maintenance",Fringe Benefits,302 - INCOME TAX - INFRASTRUCTURE,"$9,740.27"
194,"Recreation, Maintenance",Materials and Supplies,050 - GENERAL FUND,"$3,129.39"
194,"Recreation, Maintenance",Materials and Supplies,050 - GENERAL FUND,"$2,669.10"
194,"Recreation, Maintenance",Contractual Services,050 - GENERAL FUND,"$19,378.52"
194,"Recreation, Maintenance",Contractual Services,050 - GENERAL FUND,"$2,592.85"
194,"Recreation, Maintenance",Contractual Services,050 - GENERAL FUND,"$2,621.46"
194,"Recreation, Maintenance",Contractual Services,050 - GENERAL FUND,"$3,445.27"
194,"Recreation, Maintenance",Payroll,050 - GENERAL FUND,"-$64,407.06"
194,"Recreation, Maintenance",Payroll,050 - GENERAL FUND,"$40,275.15"
195,"Recreation, Golf",Capital,980 - CAPITAL PROJECTS,"$15,272.58"
195,"Recreation, Golf",Contractual Services,105 - MUNICIPAL GOLF ACTIVITIES,"$2,560.05"
195,"Recreation, Golf",Contractual Services,105 - MUNICIPAL GOLF ACTIVITIES,"$6,389.19"
195,"Recreation, Golf",Contractual Services,105 - MUNICIPAL GOLF ACTIVITIES,"$17,390.53"
197,"Recreation, Athletics",Fringe Benefits,323 - RECREATION SPECIAL ACTIVITIES,"$3,295.00"
197,"Recreation, Athletics",Fringe Benefits,323 - RECREATION SPECIAL ACTIVITIES,"$3,075.24"
197,"Recreation, Athletics",Materials and Supplies,050 - GENERAL FUND,"$14,821.00"
197,"Recreation, Athletics",Contractual Services,323 - RECREATION SPECIAL ACTIVITIES,"$7,910.69"
197,"Recreation, Athletics",Contractual Services,323 - RECREATION SPECIAL ACTIVITIES,"$4,200.00"
197,"Recreation, Athletics",Contractual Services,050 - GENERAL FUND,"$2,052.50"
197,"Recreation, Athletics",Contractual Services,323 - RECREATION SPECIAL ACTIVITIES,"$3,504.14"
197,"Recreation, Athletics",Contractual Services,323 - RECREATION SPECIAL ACTIVITIES,"$8,163.44"
197,"Recreation, Athletics",Contractual Services,323 - RECREATION SPECIAL ACTIVITIES,"$3,252.48"
197,"Recreation, Athletics",Payroll,050 - GENERAL FUND,"$19,258.31"
199,"Recreation, Support Services",Capital,980 - CAPITAL PROJECTS,"$8,294.35"
199,"Recreation, Support Services",Capital,980 - CAPITAL PROJECTS,"$8,975.50"
199,"Recreation, Support Services",Capital,980 - CAPITAL PROJECTS,"$34,601.36"
199,"Recreation, Support Services",Fringe Benefits,050 - GENERAL FUND,"-$158,406.64"
199,"Recreation, Support Services",Fringe Benefits,050 - GENERAL FUND,"$144,328.01"
199,"Recreation, Support Services",Payroll,105 - MUNICIPAL GOLF ACTIVITIES,"$35,659.33"
199,"Recreation, Support Services",Payroll,050 - GENERAL FUND,"$818,174.31"
201,"Parks, Office of Director",Payroll,050 - GENERAL FUND,"$4,499.79"
202,"Parks, Operations and Facility Mgmt",Fringe Benefits,050 - GENERAL FUND,"$10,149.93"
202,"Parks, Operations and Facility Mgmt",Fringe Benefits,050 - GENERAL FUND,"$22,103.04"
202,"Parks, Operations and Facility Mgmt",Fringe Benefits,302 - INCOME TAX - INFRASTRUCTURE,"$6,874.95"
202,"Parks, Operations and Facility Mgmt",Fringe Benefits,318 - SAWYER POINT,"$9,040.56"
202,"Parks, Operations and Facility Mgmt",Fringe Benefits,302 - INCOME TAX - INFRASTRUCTURE,"$91,388.43"
202,"Parks, Operations and Facility Mgmt",Fringe Benefits,318 - SAWYER POINT,"$5,989.48"
202,"Parks, Operations and Facility Mgmt",Fringe Benefits,326 - PARK DONATIONS AND SPECIAL ACTIVITY,"$7,975.37"
202,"Parks, Operations and Facility Mgmt",Materials and Supplies,050 - GENERAL FUND,"$2,245.95"
202,"Parks, Operations and Facility Mgmt",Materials and Supplies,050 - GENERAL FUND,"$9,396.14"
202,"Parks, Operations and Facility Mgmt",Materials and Supplies,050 - GENERAL FUND,"$14,286.02"
202,"Parks, Operations and Facility Mgmt",Materials and Supplies,318 - SAWYER POINT,"$15,638.95"
202,"Parks, Operations and Facility Mgmt",Materials and Supplies,428 - URBAN FORESTRY,"$6,907.50"
202,"Parks, Operations and Facility Mgmt",Materials and Supplies,428 - URBAN FORESTRY,"$3,451.70"
202,"Parks, Operations and Facility Mgmt",Materials and Supplies,318 - SAWYER POINT,"$2,003.72"
202,"Parks, Operations and Facility Mgmt",Contractual Services,792 - FORESTRY,"-$68,887.40"
202,"Parks, Operations and Facility Mgmt",Payroll,107 - STORMWATER MANAGEMENT,"$226,700.00"
202,"Parks, Operations and Facility Mgmt",Payroll,"301 - STREET CONSTRUCTION, MAINTENANCE AND REPAIR","$13,741.24"
202,"Parks, Operations and Facility Mgmt",Payroll,792 - FORESTRY,"$13,282.67"
202,"Parks, Operations and Facility Mgmt",Payroll,050 - GENERAL FUND,"$4,940.01"
202,"Parks, Operations and Facility Mgmt",Payroll,050 - GENERAL FUND,"$20,481.26"
203,"Parks, Administrative and Program Services",Capital,980 - CAPITAL PROJECTS,"$283,115.43"
203,"Parks, Administrative and Program Services",Capital,980 - CAPITAL PROJECTS,"$3,738.38"
203,"Parks, Administrative and Program Services",Capital,980 - CAPITAL PROJECTS,"$6,461.20"
203,"Parks, Administrative and Program Services",Capital,980 - CAPITAL PROJECTS,"$62,863.12"
203,"Parks, Administrative and Program Services",Capital,980 - CAPITAL PROJECTS,"$25,590.00"
203,"Parks, Administrative and Program Services",Capital,980 - CAPITAL PROJECTS,"$1,479,012.94"
203,"Parks, Administrative and Program Services",Capital,980 - CAPITAL PROJECTS,"$31,894.00"
203,"Parks, Administrative and Program Services",Fringe Benefits,302 - INCOME TAX - INFRASTRUCTURE,"$9,040.56"
203,"Parks, Administrative and Program Services",Fringe Benefits,302 - INCOME TAX - INFRASTRUCTURE,"$2,786.28"
203,"Parks, Administrative and Program Services",Payroll,050 - GENERAL FUND,"-$377,417.62"
222,Department of Police,Debt Service,050 - GENERAL FUND,"$13,574.48"
222,Department of Police,Capital,368 - LAW ENFORCEMENT GRANT,"$34,926.85"
222,Department of Police,Fringe Benefits,050 - GENERAL FUND,"$470,001.67"
222,Department of Police,Fixed Costs,050 - GENERAL FUND,"$2,800.00"
222,Department of Police,Fixed Costs,050 - GENERAL FUND,"$3,103.78"
222,Department of Police,Fixed Costs,050 - GENERAL FUND,"$2,071.06"
222,Department of Police,Fixed Costs,050 - GENERAL FUND,"$9,305.00"
222,Department of Police,Fixed Costs,050 - GENERAL FUND,"$21,972.28"
222,Department of Police,Fixed Costs,050 - GENERAL FUND,"$236,334.48"
222,Department of Police,Materials and Supplies,050 - GENERAL FUND,"$26,088.01"
222,Department of Police,Materials and Supplies,050 - GENERAL FUND,"$8,348.35"
222,Department of Police,Materials and Supplies,050 - GENERAL FUND,"-$5,700.00"
222,Department of Police,Materials and Supplies,369 - CRIMINAL ACTIVITY FORFEITURE - STATE,"$10,483.66"
222,Department of Police,Materials and Supplies,050 - GENERAL FUND,"$2,689.82"
222,Department of Police,Materials and Supplies,050 - GENERAL FUND,"$14,548.34"
222,Department of Police,Materials and Supplies,050 - GENERAL FUND,"$104,481.00"
222,Department of Police,Contractual Services,050 - GENERAL FUND,"$843,894.58"
222,Department of Police,Contractual Services,050 - GENERAL FUND,"$3,289.00"
222,Department of Police,Contractual Services,050 - GENERAL FUND,"$18,334.00"
222,Department of Police,Contractual Services,050 - GENERAL FUND,"$13,850.00"
222,Department of Police,Contractual Services,368 - LAW ENFORCEMENT GRANT,"$14,030.81"
222,Department of Police,Contractual Services,502 - ARRA FEDERAL GRANTS,"$419,489.79"
222,Department of Police,Contractual Services,050 - GENERAL FUND,"$16,060.00"
222,Department of Police,Contractual Services,050 - GENERAL FUND,"$2,011.69"
222,Department of Police,Contractual Services,050 - GENERAL FUND,"$6,106.14"
222,Department of Police,Contractual Services,367 - CRIMINAL ACTIVITY FORFEITURE - FEDERAL,"$5,760.00"
222,Department of Police,Contractual Services,367 - CRIMINAL ACTIVITY FORFEITURE - FEDERAL,"$33,168.70"
222,Department of Police,Payroll,050 - GENERAL FUND,"-$7,241.20"
222,Department of Police,Payroll,050 - GENERAL FUND,"$538,453.84"
222,Department of Police,Payroll,050 - GENERAL FUND,"$3,025.40"
222,Department of Police,Payroll,050 - GENERAL FUND,"$3,476.44"
222,Department of Police,Payroll,050 - GENERAL FUND,"$2,236.33"
222,Department of Police,Payroll,050 - GENERAL FUND,"$49,942.90"
224,Department of Fire,Capital,980 - CAPITAL PROJECTS,"$10,957.66"
224,Department of Fire,Capital,980 - CAPITAL PROJECTS,"$6,924.41"
231,Transportation and Engineering Director,Payroll,050 - GENERAL FUND,"$19,437.57"
231,Transportation and Engineering Director,Payroll,302 - INCOME TAX - INFRASTRUCTURE,"$19,339.39"
231,Transportation and Engineering Director,Payroll,050 - GENERAL FUND,"$155,943.08"
231,Transportation and Engineering Director,Payroll,302 - INCOME TAX - INFRASTRUCTURE,"$221,967.75"
232,"Transportation and Engineering, Planning",Capital,980 - CAPITAL PROJECTS,"$1,000,000.00"
232,"Transportation and Engineering, Planning",Capital,980 - CAPITAL PROJECTS,"$38,890.72"
232,"Transportation and Engineering, Planning",Capital,980 - CAPITAL PROJECTS,"$16,331.80"
232,"Transportation and Engineering, Planning",Capital,980 - CAPITAL PROJECTS,"$6,347.48"
232,"Transportation and Engineering, Planning",Capital,980 - CAPITAL PROJECTS,"$150,456.85"
232,"Transportation and Engineering, Planning",Capital,980 - CAPITAL PROJECTS,"$287,377.00"
232,"Transportation and Engineering, Planning",Capital,980 - CAPITAL PROJECTS,"$54,536.54"
232,"Transportation and Engineering, Planning",Capital,980 - CAPITAL PROJECTS,"$60,241.47"
232,"Transportation and Engineering, Planning",Fringe Benefits,050 - GENERAL FUND,"-$37,328.59"
232,"Transportation and Engineering, Planning",Fringe Benefits,050 - GENERAL FUND,"$20,597.53"
232,"Transportation and Engineering, Planning",Fringe Benefits,302 - INCOME TAX - INFRASTRUCTURE,"$81,923.87"
232,"Transportation and Engineering, Planning",Payroll,302 - INCOME TAX - INFRASTRUCTURE,"$7,070.88"
232,"Transportation and Engineering, Planning",Payroll,302 - INCOME TAX - INFRASTRUCTURE,"$4,197.31"
233,"Transportation and Engineering, Engineering",Capital,980 - CAPITAL PROJECTS,"$4,238.09"
233,"Transportation and Engineering, Engineering",Capital,980 - CAPITAL PROJECTS,"$9,667.26"
233,"Transportation and Engineering, Engineering",Capital,980 - CAPITAL PROJECTS,"$2,431.45"
233,"Transportation and Engineering, Engineering",Capital,980 - CAPITAL PROJECTS,"$219,734.87"
233,"Transportation and Engineering, Engineering",Capital,980 - CAPITAL PROJECTS,"$5,887.35"
233,"Transportation and Engineering, Engineering",Capital,980 - CAPITAL PROJECTS,"$65,437.50"
233,"Transportation and Engineering, Engineering",Capital,980 - CAPITAL PROJECTS,"$165,347.07"
