Manager,Annual Salary,Training Program
226,52185.50,Yes
227,53055.90,Yes
228,52183.90,No
229,48565.00,Yes
230,51368.10,No
231,51173.20,No
232,54164.80,No
233,60893.10,Yes
234,47129.30,Yes
235,59355.20,Yes
236,52722.20,Yes
237,53509.00,Yes
238,54897.00,Yes
239,47616.20,No
240,48161.40,No
241,48117.30,Yes
242,58127.60,Yes
243,57115.60,Yes
244,46174.30,Yes
245,42905.30,No
246,58035.30,Yes
247,56412.90,No
248,49187.70,Yes
249,53492.00,No
250,56233.10,Yes
251,41556.10,Yes
252,57114.20,Yes
253,44355.10,Yes
254,54880.70,Yes
255,49139.50,Yes
256,58246.10,Yes
257,57790.80,Yes
258,53581.40,No
259,59564.50,Yes
260,50705.30,Yes
261,44348.10,Yes
262,54644.10,Yes
263,45022.80,Yes
264,55690.00,Yes
265,53637.00,Yes
266,56642.80,No
267,50385.60,Yes
268,53307.60,No
269,54857.60,Yes
270,60683.20,Yes
271,52211.10,No
272,56803.20,No
273,53643.40,Yes
274,43031.30,No
275,52247.40,No
276,45297.50,Yes
277,45401.50,Yes
278,51564.70,No
279,44435.40,Yes
280,52351.00,Yes
281,54489.90,Yes
282,56986.60,Yes
283,50458.60,No
284,54220.40,Yes
285,56749.30,Yes
286,43257.00,No
287,54314.00,Yes
288,55962.70,Yes
289,50625.10,Yes
290,58371.50,No
291,46201.70,No
292,52192.50,Yes
293,54662.80,Yes
294,45130.30,No
295,55008.70,Yes
296,52836.60,No
297,50811.70,No
298,53036.30,Yes
299,48574.90,No
300,53427.00,No
301,48037.30,No
302,43146.00,Yes
303,57507.20,No
304,47698.50,Yes
305,51628.10,Yes
306,51867.50,Yes
307,47167.00,No
308,55563.90,Yes
309,57319.20,No
310,53421.70,Yes
311,51534.20,No
312,47581.90,Yes
313,50578.50,No
314,47984.70,Yes
315,52551.20,No
316,52194.10,Yes
317,49604.90,No
318,54285.60,Yes
319,58628.30,Yes
320,50064.90,No
321,50888.00,Yes
322,44321.80,No
323,50043.60,Yes
324,53927.50,Yes
325,50593.00,No
326,51751.80,Yes
327,48247.70,No
328,61153.20,Yes
329,52375.10,Yes
330,55251.90,No
331,59256.10,Yes
332,47055.20,Yes
333,47151.30,No
334,46611.90,No
335,48191.60,No
336,50047.00,No
337,49690.90,No
338,58306.30,Yes
339,47472.60,No
340,53855.40,Yes
341,53241.40,No
342,46757.00,Yes
343,50616.40,No
344,51447.00,Yes
345,52116.10,No
346,60785.10,Yes
347,55264.20,Yes
348,54318.80,Yes
349,47846.70,No
350,56576.60,Yes
351,45380.40,No
352,59530.00,Yes
353,47137.30,Yes
354,57929.70,No
355,47287.10,No
356,49243.00,No
357,49476.20,No
358,56866.80,Yes
359,55698.70,No
360,53169.40,Yes
361,53311.80,Yes
362,53979.20,No
363,52403.80,Yes
364,56731.30,Yes
365,47758.20,No
366,54275.30,Yes
367,58316.30,Yes
368,48641.80,No
369,52381.90,Yes
370,50743.80,No
371,51950.70,Yes
372,47207.90,Yes
373,51205.50,Yes
374,53230.00,Yes
375,51566.70,No
376,54006.70,Yes
377,56841.50,No
378,55297.60,Yes
379,49156.00,Yes
380,50428.40,Yes
381,54499.40,Yes
382,55450.40,Yes
383,50574.70,No
384,48954.90,No
385,47716.30,Yes
386,50536.30,No
387,44994.20,Yes
388,50961.20,Yes
389,50863.10,Yes
390,52458.80,Yes
391,43860.60,No
392,49201.70,Yes
393,46967.10,Yes
394,52460.40,Yes
395,57152.80,No
396,47031.30,Yes
397,51873.30,No
398,55953.90,Yes
399,48378.10,No
400,53544.10,No
401,53825.90,Yes
402,52912.20,Yes
403,48092.70,Yes
404,57161.60,Yes
405,53878.70,Yes
406,53709.70,Yes
407,54875.80,No
408,45962.40,Yes
409,51606.30,Yes
410,52981.80,No
411,56537.70,Yes
412,57277.70,No
413,54842.20,Yes
414,51258.10,Yes
415,48437.70,No
416,51969.10,Yes
417,44216.60,Yes
418,51350.20,No
419,51451.30,No
420,49612.50,Yes
421,50204.30,No
422,47047.00,Yes
423,45581.90,Yes
424,51042.20,No
425,54495.20,Yes
426,51553.20,No
427,54737.40,Yes
428,55808.60,Yes
429,44275.30,Yes
430,63174.40,Yes
431,48329.80,Yes
432,48369.60,No
433,44974.50,No
434,56862.10,Yes
435,53955.90,No
436,55480.30,No
437,47507.90,No
438,47455.90,No
439,54034.70,Yes
440,41283.40,No
441,49346.70,No
442,53520.00,Yes
443,61153.10,Yes
444,51932.60,Yes
445,56446.90,Yes
446,43034.70,No
447,48336.10,Yes
448,58327.50,No
449,55260.70,Yes
450,52510.00,Yes
451,45928.90,No
452,54340.70,Yes
453,49724.10,Yes
454,53323.30,Yes
455,55940.50,No
456,48037.30,Yes
457,54523.10,Yes
458,49508.10,No
459,54772.40,Yes
460,52079.90,Yes
461,51091.50,Yes
462,51131.60,No
463,45544.50,Yes
464,54923.10,Yes
465,51299.80,No
466,53043.70,No
467,54727.80,No
468,52891.20,No
469,50130.10,Yes
470,49092.30,Yes
471,49484.20,No
472,56965.20,Yes
473,55137.70,No
474,53290.90,Yes
475,53886.30,Yes
476,46830.90,No
477,57283.00,No
478,49963.00,No
479,46058.70,No
480,49607.10,No
481,56301.40,No
482,56431.00,No
483,53043.40,Yes
484,53271.70,Yes
485,52846.70,Yes
486,49405.10,No
487,46250.70,Yes
488,49052.40,No
489,51660.20,Yes
490,56427.50,Yes
491,54362.30,Yes
492,44700.60,No
493,55827.10,No
494,49634.90,Yes
495,52989.40,No
496,53142.60,Yes
497,51249.20,Yes
498,56389.60,No
499,45361.30,Yes
500,50877.90,Yes
501,58051.20,No
502,55346.10,Yes
503,54328.10,No
504,47210.90,Yes
505,61739.30,Yes
506,51441.40,Yes
507,46437.60,No
508,54823.30,Yes
509,49974.30,No
510,47923.90,No
511,53933.10,No
512,42488.70,Yes
513,50218.60,No
514,52819.90,Yes
515,47973.00,No
516,54197.80,Yes
517,55513.50,Yes
518,54333.70,Yes
519,50081.70,No
520,54063.50,Yes
521,49558.00,Yes
522,54057.10,No
523,49147.20,No
524,54430.10,No
525,56673.50,No
526,52650.90,No
527,48096.00,No
528,52885.90,Yes
529,46037.80,Yes
530,60795.30,Yes
531,58807.10,No
532,47736.50,Yes
533,54444.40,No
534,56032.10,Yes
535,50593.60,No
536,58950.90,Yes
537,54024.80,Yes
538,47819.40,No
539,58727.80,Yes
540,47409.30,Yes
541,52299.80,No
542,47154.90,No
543,50498.20,No
544,54212.00,No
545,54729.00,Yes
546,52795.60,Yes
547,48285.60,Yes
548,44408.40,Yes
549,51046.00,Yes
550,50754.60,Yes
551,50253.40,No
552,58407.10,Yes
553,53069.30,Yes
554,51108.00,Yes
555,51860.10,Yes
556,52973.00,Yes
557,50835.00,Yes
558,55180.20,Yes
559,54671.80,Yes
560,52841.90,Yes
561,51416.20,Yes
562,46604.00,No
563,49809.90,No
564,47984.20,No
565,55976.70,Yes
566,60496.60,Yes
567,59752.30,Yes
568,48376.70,Yes
569,50889.00,No
570,51632.30,Yes
571,49052.40,Yes
572,45070.20,No
573,51661.10,No
574,52392.70,Yes
575,61077.00,No
576,57610.80,Yes
577,61159.10,No
578,51842.10,Yes
579,51260.30,No
580,48118.70,No
581,52141.00,Yes
582,50602.00,No
583,45098.00,No
584,47002.90,No
585,51987.70,Yes
586,59859.10,Yes
587,50861.20,Yes
588,46561.30,No
589,59298.20,Yes
590,53869.60,Yes
591,50276.20,Yes
592,45587.70,No
593,53406.50,Yes
594,54383.60,Yes
595,48001.20,No
596,47896.70,No
597,50132.80,Yes
598,53131.00,No
599,53890.80,Yes
600,54669.50,Yes
601,45226.10,No
602,47896.20,No
603,53188.20,Yes
604,48410.40,No
605,55976.70,Yes
606,55875.80,No
607,50813.60,Yes
608,52987.80,Yes
609,54034.00,Yes
610,55526.00,Yes
611,55218.70,No
612,51468.80,Yes
613,58310.80,Yes
614,45137.70,No
615,53938.70,Yes
616,51977.90,Yes
617,46418.50,No
618,60846.10,No
619,56120.40,No
620,44298.60,No
621,49415.40,No
622,54018.70,Yes
623,52215.10,Yes
624,53983.70,Yes
625,54410.50,Yes
626,45729.10,No
627,47842.10,Yes
628,54136.30,No
629,56479.50,Yes
630,57195.50,Yes
631,51317.80,Yes
632,52236.60,Yes
633,58586.80,No
634,51339.40,Yes
635,48990.10,Yes
636,49688.80,No
637,50001.20,No
638,52854.90,No
639,45656.10,Yes
640,47655.50,Yes
641,53120.70,No
642,50816.70,No
643,53503.40,No
644,57771.60,No
645,51221.90,Yes
646,54900.60,Yes
647,54219.30,Yes
648,47809.80,No
649,53685.50,No
650,57264.70,Yes
651,51095.50,Yes
652,49270.20,No
653,58603.10,Yes
654,43289.60,No
655,51165.80,No
656,46576.50,Yes
657,54001.10,Yes
658,57082.50,Yes
659,54174.20,Yes
660,52120.10,Yes
661,57560.70,Yes
662,54197.10,Yes
663,48848.40,Yes
664,49067.60,No
665,53834.60,Yes
666,58692.50,No
667,57409.70,No
668,48142.70,Yes
669,46757.70,No
670,56657.80,Yes
671,48973.90,Yes
672,51172.00,Yes
673,55254.50,Yes
674,55068.50,Yes
675,50179.60,No
676,58688.50,No
677,58506.10,No
678,59159.70,No
679,45072.80,Yes
680,49886.50,Yes
681,48194.40,Yes
682,50904.40,Yes
683,52944.20,Yes
684,47991.50,No
685,53880.70,No
686,56833.50,Yes
687,46295.00,Yes
688,56868.80,Yes
689,57565.70,Yes
690,53896.40,Yes
691,57086.80,Yes
692,50642.10,Yes
693,50373.90,Yes
694,57172.60,Yes
695,49308.00,Yes
696,52879.90,Yes
697,52604.50,Yes
698,50127.10,No
699,55218.70,Yes
700,46689.20,Yes
701,47564.10,Yes
702,52740.70,Yes
703,48683.70,No
704,54896.60,Yes
705,51377.30,No
706,51315.40,Yes
707,59426.30,Yes
708,43904.30,No
709,57948.90,Yes
710,53873.10,Yes
711,50878.30,Yes
712,50762.20,No
713,46825.50,Yes
714,53896.10,Yes
715,52003.30,Yes
716,51418.70,No
717,50978.10,No
718,48463.50,Yes
719,51760.90,No
720,57389.00,Yes
721,54077.10,No
722,58801.60,No
723,57807.30,No
724,50120.80,Yes
725,50487.20,Yes
726,55900.10,Yes
727,43271.90,Yes
728,50395.10,Yes
729,51565.50,Yes
730,55899.60,Yes
731,50465.40,Yes
732,51438.00,No
733,45561.20,Yes
734,48573.60,Yes
735,48937.90,No
736,54820.50,Yes
737,50982.80,No
738,52415.20,Yes
739,58524.20,Yes
740,53952.10,No
741,47596.90,No
742,51920.10,Yes
743,51809.30,No
744,55924.00,Yes
745,54035.80,Yes
746,49420.20,No
747,52786.00,No
748,46592.50,No
749,57471.10,Yes
750,49888.90,Yes
751,50650.40,Yes
752,51353.30,Yes
753,51382.60,No
754,55079.10,Yes
755,50260.70,Yes
756,47251.20,No
757,52431.30,No
758,49219.20,Yes
759,50792.00,No
760,61157.40,Yes
761,52429.10,Yes
762,48223.40,No
763,52547.50,Yes
764,52081.50,Yes
765,54682.10,No
766,57365.30,Yes
767,56435.80,Yes
768,45844.80,Yes
769,48002.60,No
770,53715.10,Yes
771,45545.60,Yes
772,61104.30,No
773,46599.00,No
774,45661.10,No
775,54451.20,Yes
776,51501.70,Yes
777,53314.50,No
778,61100.10,Yes
779,54641.70,Yes
780,53945.00,No
781,50006.30,No
782,53262.90,No
783,53844.30,Yes
784,44244.30,No
785,50432.30,Yes
786,49863.30,No
787,53974.60,Yes
788,55003.20,No
789,55173.30,Yes
790,58618.20,No
791,48243.20,Yes
792,49656.90,No
793,58329.70,Yes
794,48696.20,No
795,56760.30,Yes
796,56090.90,Yes
797,59562.50,No
798,48399.40,Yes
799,45255.60,No
800,55041.20,Yes
801,57486.70,Yes
802,55451.40,Yes
803,56210.90,No
804,53562.20,No
805,48672.40,No
806,55820.10,Yes
807,55077.40,Yes
808,58384.10,Yes
809,51146.90,Yes
810,55145.00,Yes
811,47616.70,No
812,49094.30,Yes
813,51413.70,No
814,46366.80,Yes
815,52342.10,Yes
816,55668.80,Yes
817,56290.10,Yes
818,51609.70,Yes
819,53971.80,Yes
820,52793.90,No
821,52480.80,No
822,50684.90,No
823,49284.80,No
824,53409.10,Yes
825,50641.10,No
826,55507.50,No
827,47298.70,No
828,49395.20,Yes
829,52614.70,Yes
830,47518.90,No
831,54707.70,Yes
832,47767.90,Yes
833,49200.60,Yes
834,61557.70,Yes
835,42263.30,No
836,44669.20,Yes
837,54106.80,Yes
838,43406.50,Yes
839,55385.50,Yes
840,51745.00,No
841,57084.60,Yes
842,45536.20,No
843,59288.00,No
844,51766.00,Yes
845,55724.90,Yes
846,51153.70,Yes
847,54616.40,Yes
848,57282.30,Yes
849,52557.20,Yes
850,48447.80,No
851,47910.10,No
852,53371.20,No
853,48840.70,Yes
854,44769.50,Yes
855,47972.50,No
856,57837.50,No
857,48446.90,No
858,54403.40,Yes
859,49656.90,No
860,55558.30,No
861,50822.40,No
862,51511.20,Yes
863,48091.70,No
864,57780.70,Yes
865,46682.20,Yes
866,44661.60,No
867,53693.70,Yes
868,52260.90,Yes
869,50504.30,Yes
870,40993.10,Yes
871,55082.90,No
872,51260.90,Yes
873,54551.50,Yes
874,42857.60,Yes
875,47862.70,No
876,56660.90,No
877,49966.70,Yes
878,44538.60,Yes
879,52865.60,Yes
880,52152.30,No
881,50925.70,Yes
882,50173.60,No
883,43500.80,No
884,51203.90,Yes
885,58766.40,Yes
886,52395.10,Yes
887,53884.60,Yes
888,46223.90,No
889,48480.50,No
890,49674.00,No
891,54407.50,Yes
892,49527.30,Yes
893,54475.10,Yes
894,45881.10,Yes
895,49965.40,Yes
896,55965.80,Yes
897,44480.30,Yes
898,51266.20,Yes
899,52952.50,No
900,48219.80,Yes
901,54403.00,Yes
902,56035.80,Yes
903,51556.60,Yes
904,49289.30,No
905,48933.10,Yes
906,49080.80,No
907,47157.30,Yes
908,51960.80,Yes
909,53848.80,No
910,51221.60,Yes
911,53407.80,Yes
912,48177.20,No
913,50200.30,Yes
914,54488.00,Yes
915,48032.10,No
916,52519.00,Yes
917,53140.70,Yes
918,54743.30,Yes
919,50031.70,No
920,48298.20,Yes
921,47524.90,Yes
922,53539.10,Yes
923,46155.90,No
924,52684.40,No
925,59683.70,Yes
926,45523.60,Yes
927,53334.40,Yes
928,48788.60,Yes
929,49365.30,No
930,52756.70,Yes
931,54947.80,Yes
932,58194.60,Yes
933,50293.10,Yes
934,55349.70,Yes
935,50081.70,Yes
936,53133.90,Yes
937,50494.00,No
938,56617.90,No
939,52195.60,No
940,50888.60,Yes
941,52413.70,Yes
942,60718.40,Yes
943,59580.00,Yes
944,48505.70,Yes
945,51361.00,Yes
946,57173.30,No
947,41508.10,No
948,55145.80,Yes
949,48493.60,Yes
950,54294.10,Yes
951,57671.60,Yes
952,56316.70,Yes
953,56600.00,Yes
954,56089.30,No
955,48290.10,No
956,55253.60,No
957,49761.30,No
958,54472.80,Yes
959,51511.80,Yes
960,48069.40,No
961,54886.00,Yes
962,52303.20,Yes
963,45408.10,No
964,51390.90,Yes
965,53332.80,Yes
966,59792.90,Yes
967,56675.40,No
968,55541.90,Yes
969,56270.50,Yes
970,49918.10,No
971,45867.20,Yes
972,51905.10,No
973,54082.10,Yes
974,53673.90,Yes
975,49860.90,No
976,52940.10,Yes
977,60684.80,No
978,51855.80,Yes
979,60610.60,No
980,59148.50,Yes
981,48079.90,No
982,49132.20,No
983,52733.20,No
984,56592.00,No
985,56400.10,No
986,58924.80,No
987,54658.50,No
988,44530.60,No
989,53612.70,Yes
990,40990.30,No
991,46981.20,No
992,49154.80,No
993,57332.40,Yes
994,56360.80,No
995,49580.20,Yes
996,55234.90,No
997,52039.50,Yes
998,48757.10,Yes
999,54290.40,Yes
1000,53734.90,Yes
1001,49643.40,Yes
1002,50160.60,No
1003,53963.00,Yes
1004,52088.20,No
1005,50409.80,No
1006,55688.80,Yes
1007,53310.20,No
1008,46055.20,No
1009,60841.90,Yes
1010,50574.70,Yes
1011,53482.70,Yes
1012,44844.70,Yes
1013,52716.90,Yes
1014,51141.90,No
1015,54350.40,No
1016,50638.50,No
1017,55470.10,Yes
1018,44906.70,Yes
1019,52323.90,Yes
1020,52051.10,Yes
1021,51705.50,Yes
1022,51346.50,No
1023,50267.00,Yes
1024,46428.50,No
1025,48571.40,No
1026,50394.50,Yes
1027,54233.90,No
1028,51641.80,No
1029,49633.10,Yes
1030,48725.30,No
1031,55974.60,Yes
1032,50474.20,No
1033,48909.90,Yes
1034,52733.50,Yes
1035,51281.00,No
1036,53227.10,Yes
1037,53559.50,No
1038,49122.20,No
1039,57526.30,Yes
1040,54287.50,No
1041,47667.10,No
1042,47895.70,Yes
1043,46649.00,Yes
1044,57187.40,No
1045,49845.00,No
1046,55322.00,Yes
1047,51110.20,Yes
1048,55788.30,Yes
1049,47648.10,Yes
1050,47088.70,No
1051,50462.90,No
1052,51175.40,No
1053,46152.60,No
1054,54703.70,Yes
1055,47315.60,No
1056,60552.80,Yes
1057,48696.20,No
1058,49657.30,No
1059,54271.30,Yes
1060,54790.00,Yes
1061,52925.20,No
1062,57136.00,Yes
1063,50957.40,Yes
1064,51409.10,Yes
1065,48464.40,No
1066,49728.30,Yes
1067,55055.50,Yes
1068,45424.60,No
1069,52460.70,Yes
1070,54084.30,Yes
1071,47915.50,Yes
1072,51532.70,No
1073,49162.90,No
1074,61116.80,Yes
1075,49584.90,Yes
1076,41354.80,Yes
1077,52850.50,Yes
1078,51823.10,Yes
1079,44897.20,Yes
1080,55917.00,Yes
1081,51746.60,No
1082,52568.00,No
1083,55187.10,No
1084,49518.30,Yes
1085,56387.90,No
1086,54237.50,Yes
1087,57683.90,Yes
1088,49175.50,No
1089,53990.80,Yes
1090,56005.30,No
1091,56525.00,No
1092,43827.20,Yes
1093,56170.90,No
1094,59843.50,Yes
1095,48739.70,Yes
1096,53746.20,Yes
1097,55480.30,Yes
1098,58253.70,No
1099,47642.80,No
1100,49264.90,Yes
1101,49320.70,Yes
1102,50077.70,No
1103,52401.30,Yes
1104,55759.70,No
1105,50333.20,No
1106,44912.10,Yes
1107,50460.90,Yes
1108,47435.80,Yes
1109,55929.80,Yes
1110,53274.90,No
1111,49118.30,No
1112,53966.80,Yes
1113,53528.70,Yes
1114,47596.90,Yes
1115,52858.70,Yes
1116,50603.90,No
1117,52057.30,Yes
1118,55863.70,No
1119,56880.20,Yes
1120,54580.00,Yes
1121,51482.90,Yes
1122,54272.40,Yes
1123,50162.60,Yes
1124,52768.00,Yes
1125,51959.90,No
1126,55426.30,No
1127,48775.10,No
1128,53162.00,No
1129,48149.70,No
1130,56283.40,No
1131,54000.30,No
1132,50388.90,Yes
1133,60958.80,No
1134,55981.40,Yes
1135,50473.20,Yes
1136,51768.90,No
1137,48739.30,No
1138,58250.40,Yes
1139,51111.70,No
1140,53988.00,Yes
1141,53457.10,No
1142,50636.00,Yes
1143,48000.70,Yes
1144,48209.10,Yes
1145,47869.70,Yes
1146,45214.20,No
1147,47793.00,Yes
1148,55365.30,Yes
1149,53024.50,Yes
1150,54307.70,Yes
1151,45530.90,No
1152,46945.90,No
1153,55455.00,No
1154,46752.90,Yes
1155,53480.70,Yes
1156,49643.40,No
1157,50990.30,Yes
1158,54271.60,No
1159,43038.00,Yes
1160,56920.70,Yes
1161,49472.20,No
1162,49544.60,No
1163,49260.40,No
1164,56693.10,Yes
1165,52726.30,Yes
1166,44712.50,No
1167,56815.10,No
1168,52263.70,Yes
1169,50678.50,No
1170,54775.60,Yes
1171,53184.30,Yes
1172,45145.10,No
1173,56031.00,Yes
1174,48495.30,No
1175,52777.50,No
1176,54659.30,Yes
1177,48898.70,Yes
1178,42591.10,Yes
1179,50887.10,No
1180,44013.70,Yes
1181,43934.40,Yes
1182,56805.90,Yes
1183,46796.50,Yes
1184,49950.70,Yes
1185,46081.20,No
1186,54531.50,Yes
1187,51150.90,No
1188,52748.60,No
1189,54984.60,Yes
1190,48835.10,No
1191,53862.70,Yes
1192,55169.40,No
1193,47453.70,No
1194,52134.80,Yes
1195,52059.70,Yes
1196,50204.30,No
1197,51634.20,No
1198,50117.40,No
1199,55579.40,Yes
1200,52905.50,Yes
1201,54316.60,Yes
1202,45217.80,Yes
1203,50600.40,No
1204,48093.60,Yes
1205,54770.00,No
1206,55353.20,Yes
1207,54053.20,Yes
1208,49645.60,No
1209,49792.00,No
1210,53406.80,No
1211,52577.10,No
1212,51882.10,Yes
1213,54500.60,Yes
1214,51248.20,No
1215,51815.10,Yes
1216,54092.10,No
1217,55218.70,Yes
1218,48332.00,No
1219,60423.90,No
1220,56662.20,No
1221,47372.50,Yes
1222,56824.90,Yes
1223,44660.10,Yes
1224,52072.30,Yes
1225,52679.30,Yes
1226,52552.80,Yes
1227,51226.90,No
1228,44714.00,Yes
1229,41270.00,Yes
1230,51955.30,Yes
1231,49486.70,No
1232,51316.00,No
1233,51278.50,Yes
1234,48834.70,No
1235,47621.60,No
1236,48931.50,No
1237,56299.20,Yes
1238,55496.40,Yes
1239,50472.60,No
1240,54439.20,Yes
1241,50842.90,Yes
1242,55537.70,Yes
1243,52895.70,Yes
1244,44928.40,Yes
1245,51406.00,No
1246,48475.70,Yes
1247,47716.80,Yes
1248,51235.50,Yes
1249,51409.70,No
1250,52114.60,No
1251,59151.70,Yes
1252,49269.80,Yes
1253,50000.10,Yes
1254,50513.40,No
1255,46543.70,No
1256,54058.60,Yes
1257,49493.30,Yes
1258,50979.40,Yes
1259,50379.10,No
1260,45990.10,No
1261,56811.10,Yes
1262,53988.70,No
1263,53440.20,Yes
1264,48761.20,Yes
1265,48607.60,Yes
1266,44857.20,No
1267,53614.70,Yes
1268,45223.70,No
1269,43585.80,Yes
1270,47485.90,Yes
1271,49325.20,Yes
1272,53649.90,Yes
1273,50982.80,Yes
1274,49954.80,No
1275,55362.20,Yes
1276,47482.00,Yes
1277,51922.80,No
1278,48636.30,Yes
1279,54970.90,No
1280,51594.60,No
1281,55003.20,Yes
1282,52422.90,No
1283,52221.90,Yes
1284,45468.10,Yes
1285,55520.00,Yes
1286,53052.30,Yes
1287,52959.80,Yes
1288,51555.40,No
1289,55314.90,Yes
1290,53332.50,Yes
1291,51549.60,Yes
1292,48698.30,Yes
1293,60798.10,Yes
1294,52235.10,Yes
1295,46733.00,Yes
1296,58532.70,Yes
1297,56375.20,Yes
1298,51926.50,No
1299,55949.80,Yes
1300,49259.60,No
1301,45715.50,No
1302,48076.10,Yes
1303,48565.00,Yes
1304,41984.50,No
1305,52828.00,Yes
1306,45579.90,Yes
1307,52177.50,Yes
1308,51634.80,Yes
1309,51360.70,Yes
1310,48862.60,No
1311,55009.10,No
1312,61884.20,Yes
1313,44483.50,No
1314,60642.10,Yes
1315,47166.40,Yes
1316,54195.60,Yes
1317,47959.30,Yes
1318,59053.60,Yes
1319,50811.70,Yes
1320,49003.10,Yes
1321,48451.70,Yes
1322,50111.40,No
1323,52643.70,Yes
1324,53161.00,Yes
1325,55351.90,Yes
1326,48118.70,Yes
1327,53563.20,Yes
1328,47411.00,No
1329,44481.90,Yes
1330,57396.50,Yes
1331,55466.50,No
1332,52809.50,Yes
1333,48421.00,No
1334,54496.40,Yes
1335,55160.80,Yes
1336,58682.40,Yes
