Rank,Player,Money ($),Scoring Average,DrDist,DrAccu,GIR,Sand Saves,PPR,Scrambling,Bounce Back
106,Charley Hoffman,"945,702",71.16,300.8,63.35,66.24,47.17,29.49,57.42,19.42
107,J.J. Henry,"931,162",71.07,291.7,65.6,69.19,43.33,30.22,55.59,18.73
108,Corey Pavin,"924,282",70.67,261.4,69.22,57.95,63.11,27.92,64.43,15.15
109,Nathan Green,"912,867",71.33,283.7,59.5,59.82,53.26,28.24,60.12,20.21
110,Will MacKenzie,"911,194",71.63,286,62.6,64.7,43.53,29.56,56.09,13.85
111,Bo Van Pelt,"903,967",70.96,292,62.06,67.3,52.67,29.8,56.39,19.73
112,Eric Axley,"899,215",71.31,287.7,56.39,61.16,48.24,28.49,59.84,13.86
113,Alex Cejka,"893,998",71.69,282.7,65.42,63.12,42.86,29.49,55.68,20
114,Jeff Overton,"890,489",71.29,297.6,54.31,64.14,39.73,29.24,56.18,21.63
115,Richard S. Johnson,"884,367",71.13,282.2,64.18,65.12,51.25,29.76,57.23,15.2
116,Brett Quigley,"878,216",71.28,287.5,61.76,64.53,50.36,29.24,57.23,18.78
117,Nick Watney,"878,173",71.02,302.9,61.21,68.23,42.11,29.74,57.19,18.84
118,Angel Cabrera,"868,182",71.94,300.2,51.11,62.64,42.22,29.75,53.06,21.84
119,Brad Adamonis,"862,413",71.03,289.9,58.1,65.86,50.99,29.59,56.08,19.08
120,Martin Laird,"852,752",70.81,296.6,62.25,67.03,46.72,29.48,56.41,19.93
121,Shane Bertsch,"841,248",70.56,274.3,70.54,64.06,49.36,28.71,61.35,20
122,Bob Estes,"829,395",70.69,282.6,66.48,68.69,48.89,29.51,60.08,18.99
123,Patrick Sheehan,"805,897",70.93,284.1,66.48,64.8,42.62,28.8,59.86,17.29
124,Joe Durant,"802,568",71.24,286.5,73.05,71.1,36.8,30.86,51.95,19.1
125,Charles Warren,"800,694",72.08,301.1,65.43,66.88,37.41,30.42,48.41,16.24
