Owner,Population,Likely Purchase,,,,,,
51,Chevrolet Impala,Yes,,,,,,
52,Chevrolet Impala,Yes,,,,,,
53,Chevrolet Impala,Yes,,,,,,
54,Chevrolet Impala,No,,,,,,
55,Chevrolet Impala,Yes,,,,,,
56,Chevrolet Impala,Yes,,,,,,
57,Chevrolet Impala,No,,,,,,
58,Chevrolet Impala,No,,,,,,
59,Chevrolet Impala,Yes,,,,,,
60,Chevrolet Impala,Yes,,,,,,
61,Chevrolet Impala,Yes,,,,,,
62,Chevrolet Impala,No,,,,,,
63,Chevrolet Impala,No,,,,,,
64,Chevrolet Impala,Yes,,,,,,
65,Chevrolet Impala,Yes,,,,,,
66,Chevrolet Impala,Yes,,,,,,
67,Chevrolet Impala,Yes,,,,,,
68,Chevrolet Impala,Yes,,,,,,
69,Chevrolet Impala,Yes,,,,,,
70,Chevrolet Impala,Yes,,,,,,
71,Chevrolet Impala,No,,,,,,
72,Chevrolet Impala,No,,,,,,
73,Chevrolet Impala,No,,,,,,
74,Chevrolet Impala,Yes,,,,,,
75,Chevrolet Impala,No,,,,,,
76,Chevrolet Impala,Yes,,,,,,
77,Chevrolet Impala,Yes,,,,,,
78,Chevrolet Impala,Yes,,,,,,
79,Chevrolet Impala,No,,,,,,
80,Chevrolet Impala,Yes,,,,,,
81,Chevrolet Impala,No,,,,,,
82,Chevrolet Impala,No,,,,,,
83,Chevrolet Impala,No,,,,,,
84,Chevrolet Impala,No,,,,,,
85,Chevrolet Impala,Yes,,,,,,
86,Chevrolet Impala,Yes,,,,,,
87,Chevrolet Impala,Yes,,,,,,
88,Chevrolet Impala,Yes,,,,,,
89,Chevrolet Impala,Yes,,,,,,
90,Chevrolet Impala,No,,,,,,
91,Chevrolet Impala,No,,,,,,
92,Chevrolet Impala,No,,,,,,
93,Chevrolet Impala,No,,,,,,
94,Chevrolet Impala,Yes,,,,,,
95,Chevrolet Impala,No,,,,,,
96,Chevrolet Impala,No,,,,,,
97,Chevrolet Impala,Yes,,,,,,
98,Chevrolet Impala,Yes,,,,,,
99,Chevrolet Impala,Yes,,,,,,
100,Chevrolet Impala,No,,,,,,
101,Chevrolet Impala,No,,,,,,
102,Chevrolet Impala,No,,,,,,
103,Chevrolet Impala,No,,,,,,
104,Chevrolet Impala,No,,,,,,
105,Chevrolet Impala,Yes,,,,,,
106,Chevrolet Impala,No,,,,,,
107,Chevrolet Impala,Yes,,,,,,
108,Chevrolet Impala,Yes,,,,,,
109,Chevrolet Impala,Yes,,,,,,
110,Chevrolet Impala,No,,,,,,
111,Chevrolet Impala,Yes,,,,,,
112,Chevrolet Impala,Yes,,,,,,
113,Chevrolet Impala,Yes,,,,,,
114,Chevrolet Impala,Yes,,,,,,
115,Chevrolet Impala,No,,,,,,
116,Chevrolet Impala,Yes,,,,,,
117,Chevrolet Impala,Yes,,,,,,
118,Chevrolet Impala,No,,,,,,
119,Chevrolet Impala,Yes,,,,,,
120,Chevrolet Impala,No,,,,,,
121,Chevrolet Impala,No,,,,,,
122,Chevrolet Impala,Yes,,,,,,
123,Chevrolet Impala,No,,,,,,
124,Chevrolet Impala,No,,,,,,
125,Chevrolet Impala,No,,,,,,
126,Ford Fusion,Yes,,,,,,
127,Ford Fusion,No,,,,,,
128,Ford Fusion,No,,,,,,
129,Ford Fusion,Yes,,,,,,
130,Ford Fusion,No,,,,,,
131,Ford Fusion,No,,,,,,
132,Ford Fusion,No,,,,,,
133,Ford Fusion,Yes,,,,,,
134,Ford Fusion,No,,,,,,
135,Ford Fusion,Yes,,,,,,
136,Ford Fusion,Yes,,,,,,
137,Ford Fusion,Yes,,,,,,
138,Ford Fusion,No,,,,,,
139,Ford Fusion,Yes,,,,,,
140,Ford Fusion,Yes,,,,,,
141,Ford Fusion,No,,,,,,
142,Ford Fusion,Yes,,,,,,
143,Ford Fusion,Yes,,,,,,
144,Ford Fusion,Yes,,,,,,
145,Ford Fusion,Yes,,,,,,
146,Ford Fusion,Yes,,,,,,
147,Ford Fusion,Yes,,,,,,
148,Ford Fusion,Yes,,,,,,
149,Ford Fusion,Yes,,,,,,
150,Ford Fusion,Yes,,,,,,
151,Ford Fusion,No,,,,,,
152,Ford Fusion,No,,,,,,
153,Ford Fusion,No,,,,,,
154,Ford Fusion,Yes,,,,,,
155,Ford Fusion,No,,,,,,
156,Ford Fusion,No,,,,,,
157,Ford Fusion,No,,,,,,
158,Ford Fusion,Yes,,,,,,
159,Ford Fusion,Yes,,,,,,
160,Ford Fusion,No,,,,,,
161,Ford Fusion,Yes,,,,,,
162,Ford Fusion,No,,,,,,
163,Ford Fusion,No,,,,,,
164,Ford Fusion,Yes,,,,,,
165,Ford Fusion,No,,,,,,
166,Ford Fusion,Yes,,,,,,
167,Ford Fusion,No,,,,,,
168,Ford Fusion,Yes,,,,,,
169,Ford Fusion,Yes,,,,,,
170,Ford Fusion,No,,,,,,
171,Ford Fusion,Yes,,,,,,
172,Ford Fusion,Yes,,,,,,
173,Ford Fusion,Yes,,,,,,
174,Ford Fusion,Yes,,,,,,
175,Ford Fusion,Yes,,,,,,
176,Ford Fusion,No,,,,,,
177,Ford Fusion,Yes,,,,,,
178,Ford Fusion,Yes,,,,,,
179,Ford Fusion,Yes,,,,,,
180,Ford Fusion,Yes,,,,,,
181,Ford Fusion,No,,,,,,
182,Ford Fusion,No,,,,,,
183,Ford Fusion,No,,,,,,
184,Ford Fusion,No,,,,,,
185,Ford Fusion,No,,,,,,
186,Ford Fusion,No,,,,,,
187,Ford Fusion,Yes,,,,,,
188,Ford Fusion,No,,,,,,
189,Ford Fusion,Yes,,,,,,
190,Ford Fusion,Yes,,,,,,
191,Ford Fusion,Yes,,,,,,
192,Ford Fusion,Yes,,,,,,
193,Ford Fusion,Yes,,,,,,
194,Ford Fusion,No,,,,,,
195,Ford Fusion,No,,,,,,
196,Ford Fusion,No,,,,,,
197,Ford Fusion,Yes,,,,,,
198,Ford Fusion,No,,,,,,
199,Ford Fusion,Yes,,,,,,
200,Ford Fusion,Yes,,,,,,
201,Ford Fusion,No,,,,,,
202,Ford Fusion,Yes,,,,,,
203,Ford Fusion,No,,,,,,
204,Ford Fusion,No,,,,,,
205,Ford Fusion,Yes,,,,,,
206,Ford Fusion,Yes,,,,,,
207,Ford Fusion,No,,,,,,
208,Ford Fusion,Yes,,,,,,
209,Ford Fusion,Yes,,,,,,
210,Ford Fusion,Yes,,,,,,
211,Ford Fusion,Yes,,,,,,
212,Ford Fusion,Yes,,,,,,
213,Ford Fusion,Yes,,,,,,
214,Ford Fusion,No,,,,,,
215,Ford Fusion,Yes,,,,,,
216,Ford Fusion,Yes,,,,,,
217,Ford Fusion,No,,,,,,
218,Ford Fusion,Yes,,,,,,
219,Ford Fusion,No,,,,,,
220,Ford Fusion,Yes,,,,,,
221,Ford Fusion,Yes,,,,,,
222,Ford Fusion,Yes,,,,,,
223,Ford Fusion,No,,,,,,
224,Ford Fusion,Yes,,,,,,
225,Ford Fusion,Yes,,,,,,
226,Ford Fusion,No,,,,,,
227,Ford Fusion,No,,,,,,
228,Ford Fusion,No,,,,,,
229,Ford Fusion,Yes,,,,,,
230,Ford Fusion,Yes,,,,,,
231,Ford Fusion,Yes,,,,,,
232,Ford Fusion,Yes,,,,,,
233,Ford Fusion,No,,,,,,
234,Ford Fusion,Yes,,,,,,
235,Ford Fusion,No,,,,,,
236,Ford Fusion,Yes,,,,,,
237,Ford Fusion,Yes,,,,,,
238,Ford Fusion,Yes,,,,,,
239,Ford Fusion,No,,,,,,
240,Ford Fusion,Yes,,,,,,
241,Ford Fusion,No,,,,,,
242,Ford Fusion,No,,,,,,
243,Ford Fusion,Yes,,,,,,
244,Ford Fusion,Yes,,,,,,
245,Ford Fusion,Yes,,,,,,
246,Ford Fusion,Yes,,,,,,
247,Ford Fusion,Yes,,,,,,
248,Ford Fusion,No,,,,,,
249,Ford Fusion,Yes,,,,,,
250,Ford Fusion,No,,,,,,
251,Ford Fusion,No,,,,,,
252,Ford Fusion,No,,,,,,
253,Ford Fusion,Yes,,,,,,
254,Ford Fusion,Yes,,,,,,
255,Ford Fusion,Yes,,,,,,
256,Ford Fusion,Yes,,,,,,
257,Ford Fusion,No,,,,,,
258,Ford Fusion,No,,,,,,
259,Ford Fusion,No,,,,,,
260,Ford Fusion,Yes,,,,,,
261,Ford Fusion,Yes,,,,,,
262,Ford Fusion,Yes,,,,,,
263,Ford Fusion,Yes,,,,,,
264,Ford Fusion,Yes,,,,,,
265,Ford Fusion,No,,,,,,
266,Ford Fusion,No,,,,,,
267,Ford Fusion,Yes,,,,,,
268,Ford Fusion,No,,,,,,
269,Ford Fusion,Yes,,,,,,
270,Ford Fusion,No,,,,,,
271,Ford Fusion,Yes,,,,,,
272,Ford Fusion,No,,,,,,
273,Ford Fusion,No,,,,,,
274,Ford Fusion,Yes,,,,,,
275,Ford Fusion,Yes,,,,,,
276,Ford Fusion,Yes,,,,,,
277,Ford Fusion,No,,,,,,
278,Ford Fusion,Yes,,,,,,
279,Ford Fusion,No,,,,,,
280,Ford Fusion,Yes,,,,,,
281,Ford Fusion,Yes,,,,,,
282,Ford Fusion,Yes,,,,,,
283,Ford Fusion,Yes,,,,,,
284,Ford Fusion,No,,,,,,
285,Ford Fusion,No,,,,,,
286,Ford Fusion,Yes,,,,,,
287,Ford Fusion,Yes,,,,,,
288,Ford Fusion,Yes,,,,,,
289,Ford Fusion,Yes,,,,,,
290,Ford Fusion,No,,,,,,
291,Ford Fusion,No,,,,,,
292,Ford Fusion,Yes,,,,,,
293,Ford Fusion,No,,,,,,
294,Ford Fusion,No,,,,,,
295,Ford Fusion,Yes,,,,,,
296,Ford Fusion,Yes,,,,,,
297,Ford Fusion,Yes,,,,,,
298,Ford Fusion,Yes,,,,,,
299,Ford Fusion,No,,,,,,
300,Ford Fusion,Yes,,,,,,
301,Ford Fusion,No,,,,,,
302,Ford Fusion,Yes,,,,,,
303,Ford Fusion,Yes,,,,,,
304,Ford Fusion,Yes,,,,,,
305,Ford Fusion,Yes,,,,,,
306,Ford Fusion,Yes,,,,,,
307,Ford Fusion,Yes,,,,,,
308,Ford Fusion,Yes,,,,,,
309,Ford Fusion,No,,,,,,
310,Ford Fusion,No,,,,,,
311,Ford Fusion,Yes,,,,,,
312,Ford Fusion,Yes,,,,,,
313,Ford Fusion,No,,,,,,
314,Ford Fusion,Yes,,,,,,
315,Ford Fusion,No,,,,,,
316,Ford Fusion,Yes,,,,,,
317,Ford Fusion,No,,,,,,
318,Ford Fusion,No,,,,,,
319,Ford Fusion,No,,,,,,
320,Ford Fusion,No,,,,,,
321,Ford Fusion,Yes,,,,,,
322,Ford Fusion,Yes,,,,,,
323,Ford Fusion,No,,,,,,
324,Ford Fusion,Yes,,,,,,
325,Ford Fusion,Yes,,,,,,
326,Honda Accord,Yes,,,,,,
327,Honda Accord,Yes,,,,,,
328,Honda Accord,Yes,,,,,,
329,Honda Accord,Yes,,,,,,
330,Honda Accord,No,,,,,,
331,Honda Accord,Yes,,,,,,
332,Honda Accord,Yes,,,,,,
333,Honda Accord,Yes,,,,,,
334,Honda Accord,Yes,,,,,,
335,Honda Accord,Yes,,,,,,
336,Honda Accord,Yes,,,,,,
337,Honda Accord,Yes,,,,,,
338,Honda Accord,Yes,,,,,,
339,Honda Accord,No,,,,,,
340,Honda Accord,Yes,,,,,,
341,Honda Accord,Yes,,,,,,
342,Honda Accord,Yes,,,,,,
343,Honda Accord,Yes,,,,,,
344,Honda Accord,Yes,,,,,,
345,Honda Accord,Yes,,,,,,
346,Honda Accord,No,,,,,,
347,Honda Accord,Yes,,,,,,
348,Honda Accord,No,,,,,,
349,Honda Accord,Yes,,,,,,
350,Honda Accord,Yes,,,,,,
351,Honda Accord,Yes,,,,,,
352,Honda Accord,Yes,,,,,,
353,Honda Accord,Yes,,,,,,
354,Honda Accord,Yes,,,,,,
355,Honda Accord,No,,,,,,
356,Honda Accord,Yes,,,,,,
357,Honda Accord,Yes,,,,,,
358,Honda Accord,Yes,,,,,,
359,Honda Accord,No,,,,,,
360,Honda Accord,Yes,,,,,,
361,Honda Accord,No,,,,,,
362,Honda Accord,Yes,,,,,,
363,Honda Accord,Yes,,,,,,
364,Honda Accord,No,,,,,,
365,Honda Accord,Yes,,,,,,
366,Honda Accord,Yes,,,,,,
367,Honda Accord,Yes,,,,,,
368,Honda Accord,Yes,,,,,,
369,Honda Accord,Yes,,,,,,
370,Honda Accord,No,,,,,,
371,Honda Accord,No,,,,,,
372,Honda Accord,Yes,,,,,,
373,Honda Accord,Yes,,,,,,
374,Honda Accord,Yes,,,,,,
375,Honda Accord,Yes,,,,,,
376,Honda Accord,No,,,,,,
377,Honda Accord,No,,,,,,
378,Honda Accord,No,,,,,,
379,Honda Accord,No,,,,,,
380,Honda Accord,No,,,,,,
381,Honda Accord,Yes,,,,,,
382,Honda Accord,No,,,,,,
383,Honda Accord,No,,,,,,
384,Honda Accord,Yes,,,,,,
385,Honda Accord,No,,,,,,
386,Honda Accord,Yes,,,,,,
387,Honda Accord,No,,,,,,
388,Honda Accord,Yes,,,,,,
389,Honda Accord,Yes,,,,,,
390,Honda Accord,Yes,,,,,,
391,Honda Accord,Yes,,,,,,
392,Honda Accord,Yes,,,,,,
393,Honda Accord,Yes,,,,,,
394,Honda Accord,No,,,,,,
395,Honda Accord,Yes,,,,,,
396,Honda Accord,Yes,,,,,,
397,Honda Accord,Yes,,,,,,
398,Honda Accord,No,,,,,,
399,Honda Accord,No,,,,,,
400,Honda Accord,No,,,,,,
401,Honda Accord,Yes,,,,,,
402,Honda Accord,Yes,,,,,,
403,Honda Accord,Yes,,,,,,
404,Honda Accord,Yes,,,,,,
405,Honda Accord,Yes,,,,,,
406,Honda Accord,No,,,,,,
407,Honda Accord,Yes,,,,,,
408,Honda Accord,No,,,,,,
409,Honda Accord,No,,,,,,
410,Honda Accord,No,,,,,,
411,Honda Accord,Yes,,,,,,
412,Honda Accord,No,,,,,,
413,Honda Accord,Yes,,,,,,
414,Honda Accord,Yes,,,,,,
415,Honda Accord,Yes,,,,,,
416,Honda Accord,Yes,,,,,,
417,Honda Accord,No,,,,,,
418,Honda Accord,Yes,,,,,,
419,Honda Accord,Yes,,,,,,
420,Honda Accord,Yes,,,,,,
421,Honda Accord,Yes,,,,,,
422,Honda Accord,Yes,,,,,,
423,Honda Accord,No,,,,,,
424,Honda Accord,Yes,,,,,,
425,Honda Accord,Yes,,,,,,
426,Honda Accord,Yes,,,,,,
427,Honda Accord,Yes,,,,,,
428,Honda Accord,Yes,,,,,,
429,Honda Accord,Yes,,,,,,
430,Honda Accord,No,,,,,,
431,Honda Accord,Yes,,,,,,
432,Honda Accord,Yes,,,,,,
433,Honda Accord,Yes,,,,,,
434,Honda Accord,Yes,,,,,,
435,Honda Accord,Yes,,,,,,
436,Honda Accord,Yes,,,,,,
437,Honda Accord,No,,,,,,
438,Honda Accord,Yes,,,,,,
439,Honda Accord,Yes,,,,,,
440,Honda Accord,Yes,,,,,,
441,Honda Accord,Yes,,,,,,
442,Honda Accord,Yes,,,,,,
443,Honda Accord,Yes,,,,,,
444,Honda Accord,Yes,,,,,,
445,Honda Accord,Yes,,,,,,
446,Honda Accord,Yes,,,,,,
447,Honda Accord,Yes,,,,,,
448,Honda Accord,Yes,,,,,,
449,Honda Accord,Yes,,,,,,
450,Honda Accord,Yes,,,,,,
451,Honda Accord,Yes,,,,,,
452,Honda Accord,No,,,,,,
453,Honda Accord,Yes,,,,,,
454,Honda Accord,Yes,,,,,,
455,Honda Accord,Yes,,,,,,
456,Honda Accord,Yes,,,,,,
457,Honda Accord,Yes,,,,,,
458,Honda Accord,Yes,,,,,,
459,Honda Accord,Yes,,,,,,
460,Honda Accord,Yes,,,,,,
461,Honda Accord,No,,,,,,
462,Honda Accord,No,,,,,,
463,Honda Accord,No,,,,,,
464,Honda Accord,Yes,,,,,,
465,Honda Accord,Yes,,,,,,
466,Honda Accord,Yes,,,,,,
467,Honda Accord,Yes,,,,,,
468,Honda Accord,Yes,,,,,,
469,Honda Accord,Yes,,,,,,
470,Honda Accord,No,,,,,,
471,Honda Accord,Yes,,,,,,
472,Honda Accord,Yes,,,,,,
473,Honda Accord,Yes,,,,,,
474,Honda Accord,Yes,,,,,,
475,Honda Accord,Yes,,,,,,
476,Honda Accord,Yes,,,,,,
477,Honda Accord,Yes,,,,,,
478,Honda Accord,Yes,,,,,,
479,Honda Accord,No,,,,,,
480,Honda Accord,No,,,,,,
481,Honda Accord,Yes,,,,,,
482,Honda Accord,Yes,,,,,,
483,Honda Accord,No,,,,,,
484,Honda Accord,Yes,,,,,,
485,Honda Accord,No,,,,,,
486,Honda Accord,No,,,,,,
487,Honda Accord,No,,,,,,
488,Honda Accord,No,,,,,,
489,Honda Accord,No,,,,,,
490,Honda Accord,Yes,,,,,,
491,Honda Accord,No,,,,,,
492,Honda Accord,No,,,,,,
493,Honda Accord,Yes,,,,,,
494,Honda Accord,No,,,,,,
495,Honda Accord,No,,,,,,
496,Honda Accord,Yes,,,,,,
497,Honda Accord,No,,,,,,
498,Honda Accord,Yes,,,,,,
499,Honda Accord,No,,,,,,
500,Honda Accord,No,,,,,,
